"id","countyName","zipCode"
"74965","Jefferson"," 63047 "
"74966","Pinellas"," 33714 "
"74967","Sarasota"," 34293 "
"74968","Miami Dade"," 33180 "
"74969","San Diego"," 92108 "
"74970","San Bernardino"," 92394 "
"74971","Orange"," 92861 "
"74972","Los Angeles"," 90280 "
"74973","Maricopa"," 85326 "
"74974","Pike"," 30206 "
"74975","Washington"," 63030 "
"74976","Pickens"," 30143 "
"74977","Sumter"," 35459 "
"74978","Monroe"," 72021 "
"74979","Okaloosa"," 32531 "
"74980","Paulding"," 30134 "
"74981","Vernon"," 64744 "
"74982","Pierce"," 31557 "
"74983","Talladega"," 35096 "
"74984","Marion"," 39482 "
"74985","Warren"," 63357 "
"74986","Howell"," 65626 "
"74987","Stillwater"," 59019 "
"74988","Taney"," 65627 "
"74989","Orange"," 32757 "
"74990","Marshall"," 38661 "
"74991","Iron"," 63650 "
"74992","Texas"," 65479 "
"74993","Sweet Grass"," 59069 "
"74994","Muscogee"," 31909 "
"74995","Stone"," 65669 "
"74996","Oglethorpe"," 30648 "
"74997","Jackson"," 64050 "
"74998","Tallapoosa"," 36850 "
"74999","Jasper"," 64836 "
"75000","Tuscaloosa"," 35446 "
"75001","Stoddard"," 63960 "
"75002","Monroe"," 39756 "
"75003","Walker"," 35550 "
"75004","Palm Beach"," 33412 "
"75005","Jefferson"," 63048 "
"75006","Pinellas"," 33715 "
"75007","Miami Dade"," 33181 "
"75008","San Diego"," 92109 "
"75009","San Bernardino"," 92395 "
"75010","Orange"," 92865 "
"75011","Los Angeles"," 90290 "
"75012","Maricopa"," 85331 "
"75013","Pike"," 30224 "
"75014","Washington"," 63060 "
"75015","Polk"," 30104 "
"75016","Pickens"," 30148 "
"75017","Sumter"," 35460 "
"75018","Monroe"," 72029 "
"75019","Okaloosa"," 32536 "
"75020","Wayne"," 63944 "
"75021","Madison"," 39045 "
"75022","Paulding"," 30141 "
"75023","Vernon"," 64767 "
"75024","Talladega"," 35149 "
"75025","Marion"," 39483 "
"75026","Warren"," 63380 "
"75027","Howell"," 65692 "
"75028","Stillwater"," 59028 "
"75029","Taney"," 65630 "
"75030","Orange"," 32789 "
"75031","Marshall"," 38685 "
"75032","Iron"," 63656 "
"75033","Texas"," 65483 "
"75034","Stone"," 65681 "
"75035","Oglethorpe"," 30667 "
"75036","Jackson"," 64052 "
"75037","Tallapoosa"," 36853 "
"75038","Jasper"," 64840 "
"75039","Tuscaloosa"," 35452 "
"75040","Walker"," 35578 "
"75041","Palm Beach"," 33413 "
"75042","Jefferson"," 63049 "
"75043","Pinellas"," 33716 "
"75044","Miami Dade"," 33182 "
